,mag_x1,mag_y1,mag_z1,mag_x2,mag_y2,mag_z2,mag_x3,mag_y3,mag_z3,mag_x4,mag_y4,mag_z4,mag_x5,mag_y5,mag_z5,mag_x6,mag_y6,mag_z6,mag_x7,mag_y7,mag_z7,mag_x8,mag_y8,mag_z8,mag_x9,mag_y9,mag_z9,mag_x10,mag_y10,mag_z10,mag_x11,mag_y11,mag_z11,mag_x12,mag_y12,mag_z12,mag_x13,mag_y13,mag_z13,mag_x14,mag_y14,mag_z14,mag_x15,mag_y15,mag_z15,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat1.1,mat2.1,mat3.1,mat4.1,mat5.1,mat6.1,mat7.1,mat8.1,mat9.1,mat10.1,mat11.1,mat12.1,mat13.1,mat14.1,mat15.1,mat16.1,mat17.1,mat18.1,mat19.1,mat20.1,mat1.2,mat2.2,mat3.2,mat4.2,mat5.2,mat6.2,mat7.2,mat8.2,mat9.2,mat10.2,mat11.2,mat12.2,mat13.2,mat14.2,mat15.2,mat16.2,mat17.2,mat18.2,mat19.2,mat20.2,mat1.3,mat2.3,mat3.3,mat4.3,mat5.3,mat6.3,mat7.3,mat8.3,mat9.3,mat10.3,mat11.3,mat12.3,mat13.3,mat14.3,mat15.3,mat16.3,mat17.3,mat18.3,mat19.3,mat20.3,mat1.4,mat2.4,mat3.4,mat4.4,mat5.4,mat6.4,mat7.4,mat8.4,mat9.4,mat10.4,mat11.4,mat12.4,mat13.4,mat14.4,mat15.4,mat16.4,mat17.4,mat18.4,mat19.4,mat20.4,mat1.5,mat2.5,mat3.5,mat4.5,mat5.5,mat6.5,mat7.5,mat8.5,mat9.5,mat10.5,mat11.5,mat12.5,mat13.5,mat14.5,mat15.5,mat16.5,mat17.5,mat18.5,mat19.5,mat20.5,mat1.6,mat2.6,mat3.6,mat4.6,mat5.6,mat6.6,mat7.6,mat8.6,mat9.6,mat10.6,mat11.6,mat12.6,mat13.6,mat14.6,mat15.6,mat16.6,mat17.6,mat18.6,mat19.6,mat20.6,mat1.7,mat2.7,mat3.7,mat4.7,mat5.7,mat6.7,mat7.7,mat8.7,mat9.7,mat10.7,mat11.7,mat12.7,mat13.7,mat14.7,mat15.7,mat16.7,mat17.7,mat18.7,mat19.7,mat20.7,mat1.8,mat2.8,mat3.8,mat4.8,mat5.8,mat6.8,mat7.8,mat8.8,mat9.8,mat10.8,mat11.8,mat12.8,mat13.8,mat14.8,mat15.8,mat16.8,mat17.8,mat18.8,mat19.8,mat20.8,mat1.9,mat2.9,mat3.9,mat4.9,mat5.9,mat6.9,mat7.9,mat8.9,mat9.9,mat10.9,mat11.9,mat12.9,mat13.9,mat14.9,mat15.9,mat16.9,mat17.9,mat18.9,mat19.9,mat20.9,mat1.10,mat2.10,mat3.10,mat4.10,mat5.10,mat6.10,mat7.10,mat8.10,mat9.10,mat10.10,mat11.10,mat12.10,mat13.10,mat14.10,mat15.10,mat16.10,mat17.10,mat18.10,mat19.10,mat20.10,mat1.11,mat2.11,mat3.11,mat4.11,mat5.11,mat6.11,mat7.11,mat8.11,mat9.11,mat10.11,mat11.11,mat12.11,mat13.11,mat14.11,mat15.11,mat16.11,mat17.11,mat18.11,mat19.11,mat20.11,servo_1,servo_2,servo_3,servo_4,servo_5,servo_6,servo_7,servo_8,heavy,light,rigid,soft,rough,smooth,orient
0,1,0,21,-3,4,0,0,1,-10,1,-12,19,3,-40,8,0,5,-13,0,0,0,0,0,0,0,0,0,-2,24,13,0,20,23,-1,-2,-12,-2,21,11,1,-2,-8,-5,2,-6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,-32,31,-32,0,0,0,0,1,1,1,1,1,0,120
1,2,0,22,-3,4,0,2,2,-9,-1,-12,18,2,-39,6,0,5,-13,0,0,0,0,0,0,0,0,0,-5,24,13,-1,18,21,-3,-1,-11,-1,22,12,-1,-1,-7,-5,1,-6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,-32,31,-32,0,0,0,0,1,1,1,1,1,0,120
2,3,2,21,-5,5,0,2,1,-8,-1,-14,18,2,-37,6,1,4,-15,0,0,0,0,0,0,0,0,0,-3,23,10,-3,20,24,-4,-1,-7,-2,21,11,-2,-2,-6,-3,0,-4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,-33,32,-32,0,0,0,0,1,1,1,1,1,0,120
3,3,3,20,-5,7,0,2,1,-8,-2,-13,16,2,-37,5,2,3,-14,0,0,0,0,0,0,0,0,0,-3,23,11,-2,22,25,-4,-1,-9,1,20,12,1,-3,-6,-2,-1,-4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,-33,32,-32,0,0,0,0,1,1,1,1,1,0,120
4,3,3,20,-4,7,0,3,1,-8,-3,-13,14,4,-38,4,3,1,-12,0,0,0,0,0,0,0,0,0,-5,22,12,-6,22,26,-4,0,-7,-1,22,12,1,-4,-9,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,32,-33,32,-33,0,0,0,0,1,1,1,1,1,0,120
5,3,2,20,-3,8,0,3,2,-8,-3,-12,13,2,-38,4,2,2,-13,0,0,0,0,0,0,0,0,0,-4,21,16,-7,22,23,-3,0,-10,-1,22,14,1,-5,-9,-3,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,32,-33,32,-33,0,0,0,0,1,1,1,1,1,0,120
6,3,3,18,-4,8,0,2,1,-9,-4,-12,14,4,-38,4,1,2,-12,0,0,0,0,0,0,0,0,0,-3,21,16,-9,22,26,-3,0,-7,1,22,14,1,-6,-10,-2,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,32,-33,32,-33,0,0,0,0,1,1,1,1,1,0,120
7,0,3,17,-3,8,0,1,0,-8,-4,-11,15,6,-38,4,0,2,-12,0,0,0,0,0,0,0,0,0,-2,22,17,-8,22,27,0,0,-8,1,19,14,1,-7,-10,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,-33,32,-33,0,0,0,0,1,1,1,1,1,0,120
8,-2,1,19,-2,7,0,1,0,-7,-4,-9,14,5,-38,5,-1,0,-9,0,0,0,0,0,0,0,0,0,-5,23,16,-7,21,25,-1,-1,-8,3,20,15,2,-6,-12,-2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,-33,32,-33,0,0,0,0,1,1,1,1,1,0,120
9,-2,0,17,-2,6,0,1,0,-8,-4,-9,15,6,-39,6,0,1,-9,0,0,0,0,0,0,0,0,0,-4,24,14,-7,20,24,-2,-1,-6,1,20,12,0,-3,-13,-1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,-33,32,-33,0,0,0,0,1,1,1,1,1,0,120
